totalranks,termindex,term
1680,448,love
1643,378,day
999,384,new
700,102,park
494,136,road
287,165,hill
258,357,night
240,124,station
176,15,work
161,363,green
156,191,studio
154,103,street
154,122,hous
152,45,drink
138,375,great
136,14,club
131,445,beauti
129,382,centr
122,415,happi
120,125,railway
116,105,garden
108,387,royal
105,296,hospit
102,53,train
100,178,lane
99,181,wood
98,106,bridg
98,3,wed
98,392,morn
94,20,walk
92,196,stadium
90,370,home
89,62,golf
87,180,hotel
84,84,art
83,96,church
82,10,footbal
78,149,school
77,131,univers
75,163,hall
74,61,run
72,142,market
71,329,book
70,107,museum
68,234,flood
64,159,town
64,164,theatr
64,150,colleg
64,19,show
62,97,citi
60,57,shop
59,299,cake
59,151,underground
56,157,squar
56,158,bu
55,282,farm
55,144,bar
54,374,old
51,16,cycl
51,170,abbey
51,205,cafe
51,353,box
50,26,beer
48,201,palac
48,193,cross
48,236,way
47,29,danc
46,141,cat
46,100,river
46,1,music
43,174,cemeteri
43,18,sport
43,434,open
42,21,rugbi
41,6,christma
40,257,court
39,9,festiv
38,192,field
37,175,villag
36,104,peopl
36,364,natur
35,322,cinema
35,30,cricket
35,197,restaur
35,388,design
35,4,birthday
34,259,forest
34,447,countri
33,418,fashion
33,121,tower
33,64,celebr
33,261,kitchen
33,60,game
32,334,arena
32,286,store
32,161,dog
32,130,food
31,126,car
29,371,colour
28,40,perform
28,70,play
27,278,templ
27,167,galleri
27,367,white
27,389,even
26,44,carniv
26,109,castl
26,272,chocol
25,113,tree
25,246,dock
24,173,eye
24,86,climb
24,129,light
24,376,fun
23,116,flower
23,429,big
23,314,rose
23,0,parti
22,287,allot
22,301,wine
22,76,team
21,5,travel
20,317,engin
20,292,kid
20,281,lock
20,291,campu
20,108,pub
20,75,film
19,288,drum
19,99,water
19,206,moon
19,274,track
19,313,platform
19,359,red
18,416,modern
18,348,wharf
18,231,star
17,266,chapel
17,409,intern
17,354,mill
17,179,door
17,171,lake
17,233,gate
16,289,estat
16,439,social
16,91,lunch
15,128,zoo
15,50,pride
15,194,roof
15,204,offic
15,153,man
15,35,exhibit
15,214,pond
14,235,face
14,293,tunnel
14,283,island
14,262,paint
14,82,drive
14,176,memori
14,340,terrac
13,310,pool
13,134,canal
13,209,model
13,279,lion
13,48,student
13,112,friend
12,451,silver
12,426,gold
12,248,arch
12,58,graduat
12,46,camp
12,372,black
12,264,room
11,406,jazz
11,114,beach
11,319,tabl
11,41,dinner
11,2,gig
11,147,babi
10,271,step
10,229,fenc
10,316,garag
10,239,hors
10,400,gay
10,379,histori
10,294,boy
10,285,flat
10,32,event
9,244,bank
9,119,snow
9,256,motor
8,408,color
8,325,eleph
8,304,bell
8,215,crane
8,168,brick
8,268,guy
8,459,folk
8,224,men
8,463,soul
8,337,chees
8,49,transport
8,422,weekend
7,216,hat
7,156,fire
7,101,build
7,98,sky
7,8,holiday
7,458,drama
7,441,brown
7,118,sign
7,245,librari
7,55,leav
7,238,toy
7,71,media
6,358,blue
6,295,motorcycl
6,139,bird
6,110,cathedr
6,73,fiesta
6,368,spring
6,360,sunset
6,39,read
6,425,smile
6,240,skylin
6,7,concert
6,365,summer
6,43,easter
5,468,smoke
5,454,power
5,452,hot
5,446,vintag
5,410,abstract
5,396,view
5,336,cow
5,300,youth
5,230,aquarium
5,195,appl
5,186,fountain
5,182,pier
5,155,harbour
5,81,musician
5,56,band
5,36,construct
5,385,pink
5,190,ball
5,37,war
5,252,line
5,352,steel
5,27,bike
4,465,botan
4,460,long
4,413,sunni
4,362,winter
4,361,urban
4,328,spire
4,312,factori
4,306,bay
4,218,crowd
4,211,swan
4,210,metro
4,88,sail
4,78,competit
4,72,hike
4,34,race
4,33,halloween
4,23,parad
4,442,cultur
4,263,bedroom
4,208,cup
4,140,glass
4,47,marathon
4,424,air
4,145,wall
4,318,women
4,243,dress
3,373,yellow
3,356,architectur
3,347,ceil
3,341,pirat
3,333,mural
3,284,slide
3,273,bench
3,251,stair
3,160,plant
3,146,coast
3,137,anim
3,51,fring
3,12,livemus
3,397,cold
3,177,shadow
2,431,cityscap
2,421,scienc
2,402,candid
2,355,van
2,199,stage
2,189,metal
2,166,girl
2,115,sea
2,66,explor
2,13,rock
2,430,sexi
2,227,ship
2,120,sculptur
2,93,meal
1,467,rainbow
1,419,interior
1,411,heritag
1,404,militari
1,393,capit
1,383,public
1,366,landscap
1,349,storm
1,308,flag
1,302,mountain
1,242,ruin
1,198,duck
1,188,polic
1,85,anniversari
1,67,final
1,28,tour
1,24,soccer
1,17,trip
0,466,ancient
0,464,nightglow
0,462,experiment
0,461,wild
0,457,random
0,456,peac
0,455,rural
0,453,retro
0,450,textur
0,449,sunshin
0,444,cute
0,443,motion
0,440,sceneri
0,438,wet
0,437,outsid
0,436,industri
0,435,outdoor
0,433,roman
0,432,dawn
0,428,grey
0,427,yuck
0,423,gothic
0,420,purpl
0,417,sunlight
0,414,countrysid
0,412,demolit
0,407,weather
0,405,raw
0,403,abandon
0,401,decay
0,399,safe
0,398,histor
0,395,dusk
0,394,dead
0,391,victorian
0,390,derelict
0,386,mediev
0,381,orang
0,380,panorama
0,377,dark
0,369,autumn
0,351,ferri
0,350,butterfli
0,346,graveston
0,345,fruit
0,344,tile
0,343,cemetari
0,342,churchyard
0,339,mud
0,338,hand
0,335,seafront
0,332,wave
0,331,tomb
0,330,chimney
0,327,fair
0,326,bonfir
0,324,hostel
0,323,skyscrap
0,321,robin
0,320,sheep
0,315,punk
0,311,loch
0,309,plane
0,307,waterfal
0,305,costum
0,303,leaf
0,298,poster
0,297,railroad
0,290,lamp
0,280,motorbik
0,277,grafitti
0,276,carpark
0,275,insect
0,270,traffic
0,269,male
0,267,mirror
0,265,fauna
0,260,frost
0,258,pavement
0,255,aircraft
0,254,lighthous
0,253,uni
0,250,squirrel
0,249,rust
0,247,grave
0,241,stainedglass
0,237,balloon
0,232,path
0,228,ice
0,226,wheel
0,225,fog
0,223,woman
0,222,concret
0,221,mist
0,220,rail
0,219,flora
0,217,bicycl
0,213,sand
0,212,steam
0,207,stencil
0,203,fish
0,202,monument
0,200,badg
0,187,sunris
0,185,clock
0,184,graveyard
0,183,nightclub
0,172,silhouett
0,169,seasid
0,162,wildlif
0,154,grass
0,152,rain
0,148,stone
0,143,boat
0,138,sun
0,135,firework
0,133,streetart
0,132,window
0,127,statu
0,123,reflect
0,117,cloud
0,111,graffiti
0,95,singer
0,94,barbecu
0,92,cupfin
0,90,skate
0,89,tourist
0,87,dayout
0,83,recept
0,80,match
0,79,religion
0,77,airshow
0,74,wakeboard
0,69,honeymoon
0,68,newyear
0,65,disco
0,63,newyearsev
0,59,motorsport
0,54,christmasparti
0,52,demonstr
0,42,bbq
0,38,confer
0,31,drunk
0,25,xma
0,22,protest
0,11,vacat
